"Topic.ID","Topic.Name","Topic.URL"
365920,"corrigendum","https://www.semanticscholar.org/topic/365920"
2460,"volume","https://www.semanticscholar.org/topic/2460"
4169797,"latin language","https://www.semanticscholar.org/topic/4169797"
639351,"conquest","https://www.semanticscholar.org/topic/639351"
20266,"reading (activity)","https://www.semanticscholar.org/topic/20266"
13331,"fax","https://www.semanticscholar.org/topic/13331"
30635,"disease transmission","https://www.semanticscholar.org/topic/30635"
4656967,"multi-institutional systems","https://www.semanticscholar.org/topic/4656967"
3098,"school","https://www.semanticscholar.org/topic/3098"
647466,"jensen s inequality","https://www.semanticscholar.org/topic/647466"
55238,"emoticon","https://www.semanticscholar.org/topic/55238"
67280,"race condition","https://www.semanticscholar.org/topic/67280"
11271,"assertion (software development)","https://www.semanticscholar.org/topic/11271"
274620,"quotation","https://www.semanticscholar.org/topic/274620"
1796985,"i. michael ross","https://www.semanticscholar.org/topic/1796985"
27820,"social sciences","https://www.semanticscholar.org/topic/27820"
529645,"codependency (psychology)","https://www.semanticscholar.org/topic/529645"
219056,"awareness","https://www.semanticscholar.org/topic/219056"
253680,"school health services","https://www.semanticscholar.org/topic/253680"
909947,"tactic","https://www.semanticscholar.org/topic/909947"
2450,"book","https://www.semanticscholar.org/topic/2450"
3533,"web site","https://www.semanticscholar.org/topic/3533"
3914,"emotions","https://www.semanticscholar.org/topic/3914"
7405,"periodicals","https://www.semanticscholar.org/topic/7405"
21265,"movement","https://www.semanticscholar.org/topic/21265"
38937,"extraction","https://www.semanticscholar.org/topic/38937"
3109,"contraceptive methods","https://www.semanticscholar.org/topic/3109"
37474,"sterilization for infection control","https://www.semanticscholar.org/topic/37474"
21809,"money","https://www.semanticscholar.org/topic/21809"
14272,"censuses","https://www.semanticscholar.org/topic/14272"
862271,"volunteer organization","https://www.semanticscholar.org/topic/862271"
1165,"multimedia","https://www.semanticscholar.org/topic/1165"
19852,"freezing","https://www.semanticscholar.org/topic/19852"
354,"reproduction","https://www.semanticscholar.org/topic/354"
3718,"female child","https://www.semanticscholar.org/topic/3718"
52193,"reproductive biology","https://www.semanticscholar.org/topic/52193"
60473,"preparation","https://www.semanticscholar.org/topic/60473"
242347,"distrust","https://www.semanticscholar.org/topic/242347"
21808,"money","https://www.semanticscholar.org/topic/21808"
125056,"requests","https://www.semanticscholar.org/topic/125056"
4682617,"attitudinal analytics","https://www.semanticscholar.org/topic/4682617"
3605858,"independence day resurgence","https://www.semanticscholar.org/topic/3605858"
375693,"halitosis","https://www.semanticscholar.org/topic/375693"
3967,"occupations","https://www.semanticscholar.org/topic/3967"
535112,"standards characteristics","https://www.semanticscholar.org/topic/535112"
468,"malignant fibrous histiocytoma","https://www.semanticscholar.org/topic/468"
103456,"gucy2c protein, human","https://www.semanticscholar.org/topic/103456"
3036713,"triune continuum paradigm","https://www.semanticscholar.org/topic/3036713"
1146712,"discrepancy function","https://www.semanticscholar.org/topic/1146712"
70757,"mason","https://www.semanticscholar.org/topic/70757"
1231,"attitude","https://www.semanticscholar.org/topic/1231"
5777,"status epilepticus","https://www.semanticscholar.org/topic/5777"
20498,"happiness","https://www.semanticscholar.org/topic/20498"
8911,"speaking (activity)","https://www.semanticscholar.org/topic/8911"
867982,"social characteristics","https://www.semanticscholar.org/topic/867982"
41074,"dissatisfaction","https://www.semanticscholar.org/topic/41074"
84484,"interest","https://www.semanticscholar.org/topic/84484"
14770,"taxes","https://www.semanticscholar.org/topic/14770"
10168,"dimensions","https://www.semanticscholar.org/topic/10168"
41622,"educational process of instructing","https://www.semanticscholar.org/topic/41622"
1002,"acclimatization","https://www.semanticscholar.org/topic/1002"
472758,"amazona","https://www.semanticscholar.org/topic/472758"
2466,"malaria","https://www.semanticscholar.org/topic/2466"
18577,"forests","https://www.semanticscholar.org/topic/18577"
370183,"national origin","https://www.semanticscholar.org/topic/370183"
4928739,"pseudancistrus orinoco","https://www.semanticscholar.org/topic/4928739"
4468,"illness (finding)","https://www.semanticscholar.org/topic/4468"
27024,"departure - action","https://www.semanticscholar.org/topic/27024"
988650,"latitude angle point in time cancer.to be specified in another part of the message quantitative","https://www.semanticscholar.org/topic/988650"
22817,"lysp100-associated nuclear domain","https://www.semanticscholar.org/topic/22817"
144692,"relocation of home or business","https://www.semanticscholar.org/topic/144692"
29928,"privacy","https://www.semanticscholar.org/topic/29928"
396,"induced abortion (procedure)","https://www.semanticscholar.org/topic/396"
72177,"fetal viability","https://www.semanticscholar.org/topic/72177"
10104466,"nullified - managedparticipationstatus","https://www.semanticscholar.org/topic/10104466"
15267,"phobia, social","https://www.semanticscholar.org/topic/15267"
543991,"review committees","https://www.semanticscholar.org/topic/543991"
229205,"rem sleep behavior disorder","https://www.semanticscholar.org/topic/229205"
10798,"systems theory","https://www.semanticscholar.org/topic/10798"
15787,"tetrahydrocannabinol","https://www.semanticscholar.org/topic/15787"
27360,"societies","https://www.semanticscholar.org/topic/27360"
2157,"sociology","https://www.semanticscholar.org/topic/2157"
8835,"human resources","https://www.semanticscholar.org/topic/8835"
2720,"labor (childbirth)","https://www.semanticscholar.org/topic/2720"
79095,"transaction counts and value totals - contract","https://www.semanticscholar.org/topic/79095"
22733,"natural gas","https://www.semanticscholar.org/topic/22733"
12637,"entity name part qualifier - adopted","https://www.semanticscholar.org/topic/12637"
53577,"nomenclature","https://www.semanticscholar.org/topic/53577"
60001,"policy","https://www.semanticscholar.org/topic/60001"
19347,"economics","https://www.semanticscholar.org/topic/19347"
5762,"note (document)","https://www.semanticscholar.org/topic/5762"
3332,"behavior","https://www.semanticscholar.org/topic/3332"
3260,"economic growth","https://www.semanticscholar.org/topic/3260"
3166,"head","https://www.semanticscholar.org/topic/3166"
1067,"paper","https://www.semanticscholar.org/topic/1067"
18629,"premature obstetric labor","https://www.semanticscholar.org/topic/18629"
198691,"oriental medicine","https://www.semanticscholar.org/topic/198691"
72855,"research techniques","https://www.semanticscholar.org/topic/72855"
301,"physical therapy exercises","https://www.semanticscholar.org/topic/301"
4042523,"don t take it personally, babe, it just ain t your story","https://www.semanticscholar.org/topic/4042523"
2902,"population","https://www.semanticscholar.org/topic/2902"
2412,"knowledge acquisition","https://www.semanticscholar.org/topic/2412"
370,"television","https://www.semanticscholar.org/topic/370"
3609034,"naruto shippuden clash of ninja revolution 3","https://www.semanticscholar.org/topic/3609034"
79606,"sensitivity index","https://www.semanticscholar.org/topic/79606"
3597611,"biblioth que de l cole des chartes","https://www.semanticscholar.org/topic/3597611"
41675,"linear algebra","https://www.semanticscholar.org/topic/41675"
7392,"message","https://www.semanticscholar.org/topic/7392"
1185145,"espace","https://www.semanticscholar.org/topic/1185145"
2408534,"estimation of signal parameters via rotational invariance techniques","https://www.semanticscholar.org/topic/2408534"
1006,"lactic acid","https://www.semanticscholar.org/topic/1006"
412993,"metric","https://www.semanticscholar.org/topic/412993"
70398,"rico","https://www.semanticscholar.org/topic/70398"
213408,"unique name assumption","https://www.semanticscholar.org/topic/213408"
874,"diethylstilbestrol","https://www.semanticscholar.org/topic/874"
613,"myocardial infarction","https://www.semanticscholar.org/topic/613"
3830,"multi-agent system","https://www.semanticscholar.org/topic/3830"
176644,"dvd region code","https://www.semanticscholar.org/topic/176644"
22765,"chromosome deletion","https://www.semanticscholar.org/topic/22765"
520688,"el nino-southern oscillation","https://www.semanticscholar.org/topic/520688"
152130,"iso 8601","https://www.semanticscholar.org/topic/152130"
3095241,"failed duct cannulation","https://www.semanticscholar.org/topic/3095241"
4284012,"date range cmplx enctr hospitalization leading to occupational therapy treatment set","https://www.semanticscholar.org/topic/4284012"
12518,"self esteem","https://www.semanticscholar.org/topic/12518"
4727,"probability","https://www.semanticscholar.org/topic/4727"
59992,"infertility study","https://www.semanticscholar.org/topic/59992"
10815,"fertility","https://www.semanticscholar.org/topic/10815"
29580,"socioeconomic factors","https://www.semanticscholar.org/topic/29580"
261412,"social mobility","https://www.semanticscholar.org/topic/261412"
45334,"largest","https://www.semanticscholar.org/topic/45334"
392482,"health status indicators","https://www.semanticscholar.org/topic/392482"
2142,"sampling - surgical action","https://www.semanticscholar.org/topic/2142"
132,"documentation","https://www.semanticscholar.org/topic/132"
79792,"report","https://www.semanticscholar.org/topic/79792"
3684945,"spa s 843","https://www.semanticscholar.org/topic/3684945"
51632,"concentrate dosage form","https://www.semanticscholar.org/topic/51632"
899605,"partial","https://www.semanticscholar.org/topic/899605"
6474871,"giulia tenuis","https://www.semanticscholar.org/topic/6474871"
23254,"electronystagmography","https://www.semanticscholar.org/topic/23254"
20811,"drug industry","https://www.semanticscholar.org/topic/20811"
13068,"ships","https://www.semanticscholar.org/topic/13068"
164421,"dna integration","https://www.semanticscholar.org/topic/164421"
34776,"socialization","https://www.semanticscholar.org/topic/34776"
35,"cessation of life","https://www.semanticscholar.org/topic/35"
460135,"experience","https://www.semanticscholar.org/topic/460135"
6982,"eyeglasses","https://www.semanticscholar.org/topic/6982"
488945,"unhcr","https://www.semanticscholar.org/topic/488945"
2704,"conflict (psychology)","https://www.semanticscholar.org/topic/2704"
16804,"psychologic displacement","https://www.semanticscholar.org/topic/16804"
228689,"vietnamese language","https://www.semanticscholar.org/topic/228689"
61513,"voice disorders","https://www.semanticscholar.org/topic/61513"
355503,"twenty two","https://www.semanticscholar.org/topic/355503"
7012,"classification","https://www.semanticscholar.org/topic/7012"
2199,"walls of a building","https://www.semanticscholar.org/topic/2199"
57930,"biological evolution","https://www.semanticscholar.org/topic/57930"
838,"published comment","https://www.semanticscholar.org/topic/838"
26947,"fetal growth retardation","https://www.semanticscholar.org/topic/26947"
7952,"internet","https://www.semanticscholar.org/topic/7952"
16,"inspiration function","https://www.semanticscholar.org/topic/16"
136,"requirement","https://www.semanticscholar.org/topic/136"
32727,"economic development","https://www.semanticscholar.org/topic/32727"
347,"scientific publication","https://www.semanticscholar.org/topic/347"
20500,"journal","https://www.semanticscholar.org/topic/20500"
127733,"essays","https://www.semanticscholar.org/topic/127733"
19248,"congress (u.s. legislature)","https://www.semanticscholar.org/topic/19248"
98492,"central element","https://www.semanticscholar.org/topic/98492"
886,"interpretation process","https://www.semanticscholar.org/topic/886"
1302,"flow","https://www.semanticscholar.org/topic/1302"
925458,"immigration","https://www.semanticscholar.org/topic/925458"
1146728,"databases, bibliographic","https://www.semanticscholar.org/topic/1146728"
9295,"world war ii","https://www.semanticscholar.org/topic/9295"
11934,"social security program","https://www.semanticscholar.org/topic/11934"
33232,"switzerland","https://www.semanticscholar.org/topic/33232"
52671,"cross-cutting concern","https://www.semanticscholar.org/topic/52671"
96845,"dominating set","https://www.semanticscholar.org/topic/96845"
5299,"sense of identity (observable entity)","https://www.semanticscholar.org/topic/5299"
25775,"data assimilation","https://www.semanticscholar.org/topic/25775"
1096254,"rule 90","https://www.semanticscholar.org/topic/1096254"
12316,"resource allocation","https://www.semanticscholar.org/topic/12316"
3406625,"colotis","https://www.semanticscholar.org/topic/3406625"
835092,"choose (action)","https://www.semanticscholar.org/topic/835092"
2173,"cell differentiation process","https://www.semanticscholar.org/topic/2173"
21962,"research grants","https://www.semanticscholar.org/topic/21962"
59991,"demography","https://www.semanticscholar.org/topic/59991"
131,"benefit","https://www.semanticscholar.org/topic/131"
20902,"incised wound","https://www.semanticscholar.org/topic/20902"
19206,"financial cost","https://www.semanticscholar.org/topic/19206"
167,"generalization (psychology)","https://www.semanticscholar.org/topic/167"
7629,"bibliography","https://www.semanticscholar.org/topic/7629"
